Date,Product,Sales_Qty,Stock_Qty
2021-03-01,Biscuits,56,116
2021-03-01,Soap,29,61
2021-03-01,Shampoo,20,53
2021-03-02,Rice,56,95
2021-03-02,Wheat,47,104
2021-03-02,Sugar,38,99
2021-03-02,Tea,15,35
2021-03-02,Oil,20,32
2021-03-02,Biscuits,68,170
2021-03-02,Soap,29,72
2021-03-02,Shampoo,29,51
2021-03-03,Rice,44,103
2021-03-03,Wheat,48,108
2021-03-03,Sugar,38,99
2021-03-03,Tea,14,20
2021-03-03,Oil,16,45
2021-03-03,Biscuits,58,105
2021-03-03,Soap,30,66
2021-03-03,Shampoo,23,44
2021-03-04,Rice,57,163
2021-03-04,Wheat,49,78
2021-03-04,Sugar,39,72
2021-03-04,Tea,12,25
2021-03-04,Oil,20,58
2021-03-04,Biscuits,58,160
2021-03-04,Soap,30,79
2021-03-04,Shampoo,24,68
2021-03-05,Rice,44,74
2021-03-05,Wheat,41,63
2021-03-05,Sugar,42,67
2021-03-05,Tea,13,20
2021-03-05,Oil,18,29
2021-03-05,Biscuits,64,126
2021-03-05,Soap,33,67
2021-03-05,Shampoo,21,55
2021-03-06,Rice,68,156
2021-03-06,Wheat,50,79
2021-03-06,Sugar,44,54
2021-03-06,Tea,15,39
2021-03-06,Oil,23,40
2021-03-06,Biscuits,75,198
2021-03-06,Soap,33,67
2021-03-06,Shampoo,28,53
2021-03-07,Rice,68,150
2021-03-07,Wheat,56,107
2021-03-07,Sugar,51,99
2021-03-07,Tea,19,39
2021-03-07,Oil,22,29
2021-03-07,Biscuits,75,154
2021-03-07,Soap,33,40
2021-03-07,Shampoo,28,82
2021-03-08,Rice,48,66
2021-03-08,Wheat,40,101
2021-03-08,Sugar,40,109
2021-03-08,Tea,13,21
2021-03-08,Oil,17,20
2021-03-08,Biscuits,58,76
2021-03-08,Soap,25,37
2021-03-08,Shampoo,23,67
2021-03-09,Rice,44,60
2021-03-09,Wheat,54,81
2021-03-09,Sugar,44,109
2021-03-09,Tea,16,42
2021-03-09,Oil,18,28
2021-03-09,Biscuits,51,104
2021-03-09,Soap,26,41
2021-03-09,Shampoo,25,45
2021-03-10,Rice,53,131
2021-03-10,Wheat,36,104
2021-03-10,Sugar,46,60
2021-03-10,Tea,17,21
2021-03-10,Oil,19,40
2021-03-10,Biscuits,55,133
2021-03-10,Soap,32,69
2021-03-10,Shampoo,24,35
2021-03-11,Rice,60,142
2021-03-11,Wheat,46,85
2021-03-11,Sugar,43,91
2021-03-11,Tea,15,21
2021-03-11,Oil,22,58
2021-03-11,Biscuits,62,114
2021-03-11,Soap,28,77
2021-03-11,Shampoo,21,52
2021-03-12,Rice,53,101
2021-03-12,Wheat,45,93
2021-03-12,Sugar,34,93
2021-03-12,Tea,13,28
2021-03-12,Oil,19,40
2021-03-12,Biscuits,56,140
2021-03-12,Soap,33,94
2021-03-12,Shampoo,25,73
2021-03-13,Rice,59,159
2021-03-13,Wheat,52,109
2021-03-13,Sugar,53,106
2021-03-13,Tea,18,29
2021-03-13,Oil,22,56
2021-03-13,Biscuits,80,187
2021-03-13,Soap,34,47
2021-03-13,Shampoo,28,70
2021-03-14,Rice,62,150
2021-03-14,Wheat,53,133
2021-03-14,Sugar,45,118
2021-03-14,Tea,19,26
2021-03-14,Oil,23,67
2021-03-14,Biscuits,76,100
2021-03-14,Soap,29,38
2021-03-14,Shampoo,25,51
2021-03-15,Rice,49,92
2021-03-15,Wheat,51,118
2021-03-15,Sugar,44,119
2021-03-15,Tea,15,32
2021-03-15,Oil,18,37
2021-03-15,Biscuits,56,68
2021-03-15,Soap,33,82
2021-03-15,Shampoo,22,43
2021-03-16,Rice,43,84
2021-03-16,Wheat,51,140
2021-03-16,Sugar,43,102
2021-03-16,Tea,17,21
2021-03-16,Oil,16,32
2021-03-16,Biscuits,60,139
2021-03-16,Soap,30,88
2021-03-16,Shampoo,25,54
2021-03-17,Rice,50,88
2021-03-17,Wheat,41,80
2021-03-17,Sugar,33,94
2021-03-17,Tea,15,28
2021-03-17,Oil,21,53
2021-03-17,Biscuits,46,119
2021-03-17,Soap,27,42
2021-03-17,Shampoo,29,56
2021-03-18,Rice,54,74
2021-03-18,Wheat,40,58
2021-03-18,Sugar,40,88
2021-03-18,Tea,18,33
2021-03-18,Oil,14,17
2021-03-18,Biscuits,65,93
2021-03-18,Soap,29,73
2021-03-18,Shampoo,21,62
2021-03-19,Rice,49,114
2021-03-19,Wheat,41,114
2021-03-19,Sugar,39,47
2021-03-19,Tea,16,35
2021-03-19,Oil,15,33
2021-03-19,Biscuits,67,159
2021-03-19,Soap,28,35
2021-03-19,Shampoo,25,72
2021-03-20,Rice,67,104
2021-03-20,Wheat,55,97
2021-03-20,Sugar,39,78
2021-03-20,Tea,18,48
2021-03-20,Oil,26,72
2021-03-20,Biscuits,72,204
2021-03-20,Soap,39,78
2021-03-20,Shampoo,27,51
2021-03-21,Rice,53,155
2021-03-21,Wheat,58,159
2021-03-21,Sugar,54,104
2021-03-21,Tea,17,22
2021-03-21,Oil,26,55
2021-03-21,Biscuits,63,178
2021-03-21,Soap,36,50
2021-03-21,Shampoo,37,106
2021-03-22,Rice,57,168
2021-03-22,Wheat,43,94
2021-03-22,Sugar,39,73
2021-03-22,Tea,14,23
2021-03-22,Oil,18,50
2021-03-22,Biscuits,61,106
2021-03-22,Soap,31,92
2021-03-22,Shampoo,25,36
2021-03-23,Rice,47,102
2021-03-23,Wheat,46,97
2021-03-23,Sugar,42,123
2021-03-23,Tea,16,32
2021-03-23,Oil,27,49
2021-03-23,Biscuits,61,133
2021-03-23,Soap,27,50
2021-03-23,Shampoo,23,44
2021-03-24,Rice,47,136
2021-03-24,Wheat,34,41
2021-03-24,Sugar,45,85
2021-03-24,Tea,15,24
2021-03-24,Oil,22,38
2021-03-24,Biscuits,58,111
2021-03-24,Soap,26,66
2021-03-24,Shampoo,21,27
2021-03-25,Rice,48,137
2021-03-25,Wheat,51,93
2021-03-25,Sugar,41,68
2021-03-25,Tea,14,28
2021-03-25,Oil,17,38
2021-03-25,Biscuits,56,144
2021-03-25,Soap,32,84
2021-03-25,Shampoo,22,31
2021-03-26,Rice,41,62
2021-03-26,Wheat,37,67
2021-03-26,Sugar,40,116
2021-03-26,Tea,16,24
2021-03-26,Oil,20,41
2021-03-26,Biscuits,70,154
2021-03-26,Soap,32,40
2021-03-26,Shampoo,24,53
2021-03-27,Rice,64,131
2021-03-27,Wheat,54,77
2021-03-27,Sugar,43,109
2021-03-27,Tea,16,33
2021-03-27,Oil,24,65
2021-03-27,Biscuits,77,120
2021-03-27,Soap,35,66
2021-03-27,Shampoo,27,73
2021-03-28,Rice,49,102
2021-03-28,Wheat,52,134
2021-03-28,Sugar,50,89
2021-03-28,Tea,17,44
2021-03-28,Oil,24,56
2021-03-28,Biscuits,73,102
2021-03-28,Soap,31,39
2021-03-28,Shampoo,27,69
2021-03-29,Rice,43,86
2021-03-29,Wheat,46,82
2021-03-29,Sugar,45,70
2021-03-29,Tea,16,25
2021-03-29,Oil,19,49
2021-03-29,Biscuits,69,169
2021-03-29,Soap,30,38
2021-03-29,Shampoo,22,51
2021-03-30,Rice,43,116
2021-03-30,Wheat,45,120
2021-03-30,Sugar,39,92
2021-03-30,Tea,14,25
2021-03-30,Oil,27,68
2021-03-30,Biscuits,50,62
2021-03-30,Soap,31,49
2021-03-30,Shampoo,21,29
2021-03-31,Rice,44,99
2021-03-31,Wheat,51,122
2021-03-31,Sugar,39,110
2021-03-31,Tea,14,19
2021-03-31,Oil,20,41
2021-03-31,Biscuits,51,148
2021-03-31,Soap,28,72
2021-03-31,Shampoo,22,63
2021-04-01,Rice,54,127
2021-04-01,Wheat,41,98
2021-04-01,Sugar,37,59
2021-04-01,Tea,14,40
2021-04-01,Oil,19,54
2021-04-01,Biscuits,62,98
2021-04-01,Soap,27,55
2021-04-01,Shampoo,24,52
2021-04-02,Rice,43,76
2021-04-02,Wheat,39,48
2021-04-02,Sugar,42,107
2021-04-02,Tea,13,34
2021-04-02,Oil,18,47
2021-04-02,Biscuits,59,120
2021-04-02,Soap,29,60
2021-04-02,Shampoo,23,63
2021-04-03,Rice,54,130
2021-04-03,Wheat,52,85
2021-04-03,Sugar,45,129
2021-04-03,Tea,17,24
2021-04-03,Oil,25,56
2021-04-03,Biscuits,84,224
2021-04-03,Soap,28,61
2021-04-03,Shampoo,27,37
2021-04-04,Rice,62,157
2021-04-04,Wheat,59,90
2021-04-04,Sugar,53,115
2021-04-04,Tea,18,40
2021-04-04,Oil,23,45
2021-04-04,Biscuits,76,155
2021-04-04,Soap,34,61
2021-04-04,Shampoo,31,91
2021-04-05,Rice,40,59
2021-04-05,Wheat,40,59
2021-04-05,Sugar,41,50
2021-04-05,Tea,13,36
2021-04-05,Oil,17,34
2021-04-05,Biscuits,58,90
2021-04-05,Soap,37,103
2021-04-05,Shampoo,26,65
2021-04-06,Rice,45,104
2021-04-06,Wheat,46,125
2021-04-06,Sugar,41,58
2021-04-06,Tea,14,37
2021-04-06,Oil,20,30
2021-04-06,Biscuits,63,127
2021-04-06,Soap,28,65
2021-04-06,Shampoo,24,43
2021-04-07,Rice,42,92
2021-04-07,Wheat,50,133
2021-04-07,Sugar,37,66
2021-04-07,Tea,13,28
2021-04-07,Oil,20,27
2021-04-07,Biscuits,57,72
2021-04-07,Soap,31,73
2021-04-07,Shampoo,24,59
2021-04-08,Rice,47,91
2021-04-08,Wheat,41,96
2021-04-08,Sugar,37,74
2021-04-08,Tea,14,32
2021-04-08,Oil,18,22
2021-04-08,Biscuits,48,97
2021-04-08,Soap,32,49
2021-04-08,Shampoo,26,40
2021-04-09,Rice,53,96
2021-04-09,Wheat,51,123
2021-04-09,Sugar,33,47
2021-04-09,Tea,16,30
2021-04-09,Oil,22,57
2021-04-09,Biscuits,64,85
2021-04-09,Soap,29,48
2021-04-09,Shampoo,23,37
2021-04-10,Rice,54,92
2021-04-10,Wheat,49,59
2021-04-10,Sugar,49,96
2021-04-10,Tea,19,33
2021-04-10,Oil,26,59
2021-04-10,Biscuits,63,130
2021-04-10,Soap,41,119
2021-04-10,Shampoo,27,41
2021-04-11,Rice,63,80
2021-04-11,Wheat,63,112
2021-04-11,Sugar,44,120
2021-04-11,Tea,19,34
2021-04-11,Oil,25,74
2021-04-11,Biscuits,71,89
2021-04-11,Soap,38,94
2021-04-11,Shampoo,30,63
2021-04-12,Rice,56,77
2021-04-12,Wheat,50,92
2021-04-12,Sugar,39,73
2021-04-12,Tea,14,30
2021-04-12,Oil,17,46
2021-04-12,Biscuits,59,107
2021-04-12,Soap,29,80
2021-04-12,Shampoo,24,63
2021-04-13,Rice,51,113
2021-04-13,Wheat,47,68
2021-04-13,Sugar,38,63
2021-04-13,Tea,15,32
2021-04-13,Oil,18,29
2021-04-13,Biscuits,55,149
2021-04-13,Soap,29,54
2021-04-13,Shampoo,25,39
2021-04-14,Rice,51,104
2021-04-14,Wheat,42,105
2021-04-14,Sugar,39,58
2021-04-14,Tea,12,30
2021-04-14,Oil,22,36
2021-04-14,Biscuits,72,151
2021-04-14,Soap,40,108
2021-04-14,Shampoo,26,53
2021-04-15,Rice,50,135
2021-04-15,Wheat,51,122
2021-04-15,Sugar,50,97
2021-04-15,Tea,13,22
2021-04-15,Oil,22,62
2021-04-15,Biscuits,49,104
2021-04-15,Soap,30,78
2021-04-15,Shampoo,27,35
2021-04-16,Rice,58,149
2021-04-16,Wheat,44,130
2021-04-16,Sugar,38,92
2021-04-16,Tea,17,20
2021-04-16,Oil,22,38
2021-04-16,Biscuits,68,116
2021-04-16,Soap,29,59
2021-04-16,Shampoo,25,47
2021-04-17,Rice,53,103
2021-04-17,Wheat,58,143
2021-04-17,Sugar,47,122
2021-04-17,Tea,16,27
2021-04-17,Oil,24,34
2021-04-17,Biscuits,72,180
2021-04-17,Soap,37,102
2021-04-17,Shampoo,31,76
2021-04-18,Rice,65,124
2021-04-18,Wheat,58,82
2021-04-18,Sugar,54,143
2021-04-18,Tea,16,41
2021-04-18,Oil,23,45
2021-04-18,Biscuits,74,154
2021-04-18,Soap,35,56
2021-04-18,Shampoo,33,98
2021-04-19,Rice,48,72
2021-04-19,Wheat,43,96
2021-04-19,Sugar,35,104
2021-04-19,Tea,16,25
2021-04-19,Oil,18,46
2021-04-19,Biscuits,54,106
2021-04-19,Soap,28,45
2021-04-19,Shampoo,21,27
2021-04-20,Rice,46,105
2021-04-20,Wheat,42,54
2021-04-20,Sugar,42,109
2021-04-20,Tea,17,29
2021-04-20,Oil,15,21
2021-04-20,Biscuits,60,172
2021-04-20,Soap,29,64
2021-04-20,Shampoo,26,73
2021-04-21,Rice,52,76
2021-04-21,Wheat,46,68
2021-04-21,Sugar,39,47
2021-04-21,Tea,15,27
2021-04-21,Oil,19,30
2021-04-21,Biscuits,64,96
2021-04-21,Soap,28,73
2021-04-21,Shampoo,21,43
2021-04-22,Rice,48,101
2021-04-22,Wheat,48,102
2021-04-22,Sugar,36,94
2021-04-22,Tea,15,25
2021-04-22,Oil,17,21
2021-04-22,Biscuits,62,158
2021-04-22,Soap,26,40
2021-04-22,Shampoo,20,31
2021-04-23,Rice,64,165
2021-04-23,Wheat,45,97
2021-04-23,Sugar,36,74
2021-04-23,Tea,15,42
2021-04-23,Oil,17,32
2021-04-23,Biscuits,68,85
2021-04-23,Soap,27,49
2021-04-23,Shampoo,24,33
2021-04-24,Rice,62,99
2021-04-24,Wheat,46,73
2021-04-24,Sugar,53,145
2021-04-24,Tea,15,29
2021-04-24,Oil,21,38
2021-04-24,Biscuits,82,213
2021-04-24,Soap,31,42
2021-04-24,Shampoo,31,84
2021-04-25,Rice,58,85
2021-04-25,Wheat,55,156
2021-04-25,Sugar,45,112
2021-04-25,Tea,17,36
2021-04-25,Oil,26,69
2021-04-25,Biscuits,80,230
2021-04-25,Soap,32,76
2021-04-25,Shampoo,27,35
2021-04-26,Rice,48,83
2021-04-26,Wheat,48,124
2021-04-26,Sugar,45,108
2021-04-26,Tea,17,43
2021-04-26,Oil,20,37
2021-04-26,Biscuits,53,138
2021-04-26,Soap,35,86
2021-04-26,Shampoo,26,39
2021-04-27,Rice,50,126
2021-04-27,Wheat,51,135
2021-04-27,Sugar,43,89
2021-04-27,Tea,15,38
2021-04-27,Oil,24,71
2021-04-27,Biscuits,59,164
2021-04-27,Soap,28,69
2021-04-27,Shampoo,25,55
2021-04-28,Rice,50,116
2021-04-28,Wheat,37,107
2021-04-28,Sugar,44,53
2021-04-28,Tea,16,25
2021-04-28,Oil,17,24
2021-04-28,Biscuits,54,133
2021-04-28,Soap,31,41
2021-04-28,Shampoo,27,67
2021-04-29,Rice,53,157
2021-04-29,Wheat,45,121
2021-04-29,Sugar,39,79
2021-04-29,Tea,15,23
2021-04-29,Oil,19,30
2021-04-29,Biscuits,57,127
2021-04-29,Soap,28,73
2021-04-29,Shampoo,23,58
2021-04-30,Rice,52,147
2021-04-30,Wheat,39,56
2021-04-30,Sugar,39,54
2021-04-30,Tea,15,31
2021-04-30,Oil,23,36
2021-04-30,Biscuits,60,132
2021-04-30,Soap,29,50
2021-04-30,Shampoo,25,47
2021-05-01,Rice,55,157
2021-05-01,Wheat,49,117
2021-05-01,Sugar,45,106
2021-05-01,Tea,20,33
2021-05-01,Oil,20,37
2021-05-01,Biscuits,77,119
2021-05-01,Soap,21,38
2021-05-01,Shampoo,29,46
2021-05-02,Rice,52,74
2021-05-02,Wheat,57,141
2021-05-02,Sugar,46,126
2021-05-02,Tea,20,32
2021-05-02,Oil,20,29
2021-05-02,Biscuits,95,235
2021-05-02,Soap,39,58
2021-05-02,Shampoo,24,49
2021-05-03,Rice,50,100
2021-05-03,Wheat,48,82
2021-05-03,Sugar,39,69
2021-05-03,Tea,16,37
2021-05-03,Oil,18,24
2021-05-03,Biscuits,59,116
2021-05-03,Soap,29,61
2021-05-03,Shampoo,23,63
2021-05-04,Rice,52,100
2021-05-04,Wheat,41,88
2021-05-04,Sugar,41,90
2021-05-04,Tea,16,29
2021-05-04,Oil,19,46
2021-05-04,Biscuits,61,100
2021-05-04,Soap,33,75
2021-05-04,Shampoo,27,73
2021-05-05,Rice,54,86
2021-05-05,Wheat,44,88
2021-05-05,Sugar,42,122
2021-05-05,Tea,12,26
2021-05-05,Oil,18,24
2021-05-05,Biscuits,65,171
2021-05-05,Soap,28,41
2021-05-05,Shampoo,23,59
2021-05-06,Rice,40,77
2021-05-06,Wheat,40,98
2021-05-06,Sugar,38,76
2021-05-06,Tea,15,22
2021-05-06,Oil,22,31
2021-05-06,Biscuits,55,151
2021-05-06,Soap,27,51
2021-05-06,Shampoo,27,78
2021-05-07,Rice,44,82
2021-05-07,Wheat,49,99
2021-05-07,Sugar,42,119
2021-05-07,Tea,17,48
2021-05-07,Oil,18,21
2021-05-07,Biscuits,67,87
2021-05-07,Soap,35,56
2021-05-07,Shampoo,27,41
2021-05-08,Rice,64,78
2021-05-08,Wheat,44,111
2021-05-08,Sugar,51,135
2021-05-08,Tea,18,50
2021-05-08,Oil,24,34
2021-05-08,Biscuits,76,148
2021-05-08,Soap,33,84
2021-05-08,Shampoo,29,70
2021-05-09,Rice,55,90
2021-05-09,Wheat,58,82
2021-05-09,Sugar,40,56
2021-05-09,Tea,16,26
2021-05-09,Oil,29,47
2021-05-09,Biscuits,94,259
2021-05-09,Soap,33,61
2021-05-09,Shampoo,27,72
2021-05-10,Rice,48,130
2021-05-10,Wheat,45,109
2021-05-10,Sugar,36,53
2021-05-10,Tea,14,16
2021-05-10,Oil,18,36
2021-05-10,Biscuits,56,87
2021-05-10,Soap,32,74
2021-05-10,Shampoo,24,67
2021-05-11,Rice,53,141
2021-05-11,Wheat,42,104
2021-05-11,Sugar,40,51
2021-05-11,Tea,14,20
2021-05-11,Oil,19,53
2021-05-11,Biscuits,66,174
2021-05-11,Soap,29,44
2021-05-11,Shampoo,21,29
2021-05-12,Rice,54,88
2021-05-12,Wheat,39,96
2021-05-12,Sugar,34,49
2021-05-12,Tea,14,29
2021-05-12,Oil,19,35
2021-05-12,Biscuits,63,95
2021-05-12,Soap,33,61
2021-05-12,Shampoo,30,63
2021-05-13,Rice,46,68
2021-05-13,Wheat,48,97
2021-05-13,Sugar,41,56
2021-05-13,Tea,15,19
2021-05-13,Oil,19,51
2021-05-13,Biscuits,58,150
2021-05-13,Soap,26,50
2021-05-13,Shampoo,25,44
2021-05-14,Rice,46,104
2021-05-14,Wheat,40,92
2021-05-14,Sugar,41,107
2021-05-14,Tea,14,19
2021-05-14,Oil,22,37
2021-05-14,Biscuits,72,214
2021-05-14,Soap,34,41
2021-05-14,Shampoo,28,74
2021-05-15,Rice,59,156
2021-05-15,Wheat,50,107
2021-05-15,Sugar,58,164
2021-05-15,Tea,17,22
2021-05-15,Oil,25,36
2021-05-15,Biscuits,78,150
2021-05-15,Soap,35,47
2021-05-15,Shampoo,32,48
2021-05-16,Rice,55,127
2021-05-16,Wheat,52,155
2021-05-16,Sugar,56,95
2021-05-16,Tea,20,39
2021-05-16,Oil,25,38
2021-05-16,Biscuits,75,133
2021-05-16,Soap,39,104
2021-05-16,Shampoo,29,41
2021-05-17,Rice,45,90
2021-05-17,Wheat,49,94
2021-05-17,Sugar,41,74
2021-05-17,Tea,15,31
2021-05-17,Oil,21,30
2021-05-17,Biscuits,64,189
2021-05-17,Soap,32,54
2021-05-17,Shampoo,28,69
2021-05-18,Rice,44,68
2021-05-18,Wheat,45,101
2021-05-18,Sugar,43,91
2021-05-18,Tea,13,31
2021-05-18,Oil,18,23
2021-05-18,Biscuits,53,94
2021-05-18,Soap,25,57
2021-05-18,Shampoo,25,56
2021-05-19,Rice,59,141
2021-05-19,Wheat,53,71
2021-05-19,Sugar,44,97
2021-05-19,Tea,10,14
2021-05-19,Oil,20,36
2021-05-19,Biscuits,73,99
2021-05-19,Soap,33,43
2021-05-19,Shampoo,24,39
2021-05-20,Rice,54,149
2021-05-20,Wheat,40,76
2021-05-20,Sugar,42,119
2021-05-20,Tea,14,34
2021-05-20,Oil,23,36
2021-05-20,Biscuits,58,161
2021-05-20,Soap,33,84
2021-05-20,Shampoo,25,42
2021-05-21,Rice,47,72
2021-05-21,Wheat,49,108
2021-05-21,Sugar,38,100
2021-05-21,Tea,14,38
2021-05-21,Oil,20,29
2021-05-21,Biscuits,60,104
2021-05-21,Soap,28,82
2021-05-21,Shampoo,22,61
2021-05-22,Rice,67,130
2021-05-22,Wheat,60,155
2021-05-22,Sugar,41,101
2021-05-22,Tea,16,23
2021-05-22,Oil,16,25
2021-05-22,Biscuits,61,76
2021-05-22,Soap,33,70
2021-05-22,Shampoo,31,48
2021-05-23,Rice,53,154
2021-05-23,Wheat,38,112
2021-05-23,Sugar,50,106
2021-05-23,Tea,15,18
2021-05-23,Oil,24,46
2021-05-23,Biscuits,70,205
2021-05-23,Soap,42,86
2021-05-23,Shampoo,32,42
2021-05-24,Rice,50,98
2021-05-24,Wheat,50,90
2021-05-24,Sugar,45,114
2021-05-24,Tea,15,39
2021-05-24,Oil,15,26
2021-05-24,Biscuits,63,179
2021-05-24,Soap,29,34
2021-05-24,Shampoo,28,34
2021-05-25,Rice,50,147
2021-05-25,Wheat,40,54
2021-05-25,Sugar,41,86
2021-05-25,Tea,14,23
2021-05-25,Oil,25,72
2021-05-25,Biscuits,64,142
2021-05-25,Soap,28,82
2021-05-25,Shampoo,24,68
2021-05-26,Rice,53,130
2021-05-26,Wheat,41,82
2021-05-26,Sugar,39,72
2021-05-26,Tea,16,19
2021-05-26,Oil,20,53
2021-05-26,Biscuits,65,151
2021-05-26,Soap,30,87
2021-05-26,Shampoo,18,51
2021-05-27,Rice,46,80
2021-05-27,Wheat,37,109
2021-05-27,Sugar,33,63
2021-05-27,Tea,15,40
2021-05-27,Oil,17,40
2021-05-27,Biscuits,58,126
2021-05-27,Soap,32,75
2021-05-27,Shampoo,26,52
2021-05-28,Rice,47,88
2021-05-28,Wheat,42,67
2021-05-28,Sugar,38,93
2021-05-28,Tea,14,36
2021-05-28,Oil,22,34
2021-05-28,Biscuits,57,123
2021-05-28,Soap,30,49
2021-05-28,Shampoo,26,77
2021-05-29,Rice,62,103
2021-05-29,Wheat,56,103
2021-05-29,Sugar,49,101
2021-05-29,Tea,15,44
2021-05-29,Oil,28,74
2021-05-29,Biscuits,74,126
2021-05-29,Soap,37,80
2021-05-29,Shampoo,28,47
2021-05-30,Rice,63,170
2021-05-30,Wheat,42,52
2021-05-30,Sugar,47,96
2021-05-30,Tea,18,52
2021-05-30,Oil,23,31
2021-05-30,Biscuits,78,157
2021-05-30,Soap,32,77
2021-05-30,Shampoo,25,32
2021-05-31,Rice,46,100
2021-05-31,Wheat,45,113
2021-05-31,Sugar,37,104
2021-05-31,Tea,14,32
2021-05-31,Oil,16,31
2021-05-31,Biscuits,65,155
2021-05-31,Soap,30,88
2021-05-31,Shampoo,29,48
2021-06-01,Rice,46,117
2021-06-01,Wheat,42,122
2021-06-01,Sugar,44,108
2021-06-01,Tea,12,33
2021-06-01,Oil,19,51
2021-06-01,Biscuits,57,91
2021-06-01,Soap,35,56
2021-06-01,Shampoo,22,33
2021-06-02,Rice,48,139
2021-06-02,Wheat,39,77
2021-06-02,Sugar,40,112
2021-06-02,Tea,15,28
2021-06-02,Oil,21,54
2021-06-02,Biscuits,56,124
2021-06-02,Soap,29,48
2021-06-02,Shampoo,28,79
2021-06-03,Rice,51,66
2021-06-03,Wheat,48,99
2021-06-03,Sugar,38,57
2021-06-03,Tea,15,32
2021-06-03,Oil,18,25
2021-06-03,Biscuits,64,134
2021-06-03,Soap,30,69
2021-06-03,Shampoo,25,72
2021-06-04,Rice,62,92
2021-06-04,Wheat,42,97
2021-06-04,Sugar,40,77
2021-06-04,Tea,15,31
2021-06-04,Oil,22,59
2021-06-04,Biscuits,64,188
2021-06-04,Soap,28,79
2021-06-04,Shampoo,25,68
2021-06-05,Rice,68,160
2021-06-05,Wheat,57,108
2021-06-05,Sugar,51,79
2021-06-05,Tea,17,48
2021-06-05,Oil,25,64
2021-06-05,Biscuits,77,135
2021-06-05,Soap,41,87
2021-06-05,Shampoo,34,81
2021-06-06,Rice,61,124
2021-06-06,Wheat,53,113
2021-06-06,Sugar,48,105
2021-06-06,Tea,16,22
2021-06-06,Oil,20,55
2021-06-06,Biscuits,64,142
2021-06-06,Soap,43,103
2021-06-06,Shampoo,29,37
2021-06-07,Rice,45,100
2021-06-07,Wheat,49,81
2021-06-07,Sugar,44,113
2021-06-07,Tea,17,24
2021-06-07,Oil,26,65
2021-06-07,Biscuits,63,175
